Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_E,LV_03_N,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_23,Panel_befestigt,Luftung_30s
86,"Ostermundigen,_Lotschenstr_13",Ostermundigen_Lotschenstrasse,0cebd7uf5020,46.95309,7.48719,2603696,1200224.7,551.5,Hauptnetz,Gemeinde_Ostermundigen,Strassenlampe,ja,ja,ja
87,Engehalde_Stauwehr,Engehalde_Stauwehr,307b8e4c1a42,46.96546,7.44503,2600486.5,1201598.6,494.5,Hauptnetz,ewb,"Wehr,_am_ubergang",nein,ja,ja
89,Gurten_Kulm,Gurten_Kulm,a4caecd1e2e6,46.91833,7.43971,2600082,1196359.1,848,Hauptnetz,ewb,Strassenlampe,nein,nein,nein
98,Zollikofen_Referenz_2m,Zollikofen_2m,20d1b9040ad9,46.99079,7.46407,2601935.4,1204414.8,552.9,Hauptnetz,MeteoSchweiz,Metallstange,ja,ja,ja
99,Zollikofen_Referenz_3m,Zollikofen_3m,135a449d34a1,46.99079,7.46407,2601935.4,1204414.8,552.9,Hauptnetz,MeteoSchweiz,Metallstange,ja,ja,ja
101,Steinholzliwald,Steinholzliwald,213cff7114f2,46.93514,7.42805,2599194.5,1198227.6,573.7,Hauptnetz,Burgergemeinde,Baum,nein,nein,nein
102,"Vorderes_LG-Quartier,_Falkenweg_5",Vordere_Langgasse,2671f57ca11c,46.95171,7.43714,2599886.1,1200069.3,561.6,Hauptnetz,ewb,Strassenlampe,ja,ja,ja
110,Rosalia-Wenger_Platz,Rosalia-Wenger_Platz,alte_Generation,46.96813,7.46384,2601918.6,1201895.9,550.8,Monitoring_intern,TAB,Strassenschild,nein,-,-
111,Tellstrasse,Tellstrasse,68d17acb4c7c,46.96017,7.46146,2601737.6,1201010.4,556.1,Monitoring_intern,BERNMOBIL,Masten,nein,ja,ja
112,"Ausserholligen_1,_Post",Ausserholligen_Post,f9c2d2bbe84f,46.94755,7.40188,2597202.2,1199607.9,547.9,Monitoring_intern,Post,Strassenlampe,nein,ja,ja
113,"Ausserholligen_2,_ewb",Ausserholligen_ewb,4f5e9a2b9675,46.94542,7.40642,2594547.7,1199371.3,547.6,Monitoring_intern,ewb,Strassenlampe,nein,ja,ja
116,Ansermetplatz,Ansermetplatz,061bc5815e5a,46.94787,7.37708,2595313.7,1199645,545.2,Hauptnetz,ewb,Strassenlampe,nein,ja,ja
117,Koniztal,Koniztal,37464e90ede9,46.90961,7.44248,2600293.4,1195389.8,631,Hauptnetz,Bauer,Schild,nein,ja,ja
119,Rosalia-Wenger_Platz_Monitoring,Rosalia-Wenger_Platz_Monitoring,erst_ab_August_/_alte_Gen,46.96792,7.46398,2601929.3,1201871.9,550.5,Monitoring_extern,"Pascal_Meier_(TAB,_Individuell)",Schild_/_mobile_Stange_NUR_AUGUST,nein,-,
124,Barenplatz,Barenplatz,995c5da790ca,46.94814,7.44366,2600382.9,1199672.9,542.1,Monitoring_intern,TAB,Maritstange,nein,ja,ja
